"recipe_name_original","markup_recipe_name_original","recipe_name_interpreted","restriction","topic_sum","subtopic_sum","named_individuals_sum","date_of_recipe_YEAR","source_book","unique_recipe_code","costs_prices","discusses_durability","discusses_quality","illustration","swatch"
"Naptha Polish","Naptha Polish","spirit varnish",,"varnish manufacture","spirit varnish",,,"01","01P010L03",,"no","no","no","no"
"Patent Dryer","Patent Dryer","dryers : patent",,"dryers, suppliers","patent dryers",,"1843","01","01P010L05",,"no","no","no","no"
"Zinc plates","Zinc plates","zinc",,"dryers, suppliers","patent dryers",,"1843","01","01P010L07",,"no","no","no","no"
"Howletts Perspective ... Longman","Howletts Perspective ... Longman","[unrelated material]",,"unrelated material, quotation from publication, suppliers",,,,"01","01P010L09",,"no","no","no","no"
"Tradesmens Books","Tradesmens Books","[unrelated material]",,"unrelated material",,,,"01","01P010L14",,"no","no","no","no"
"Chyaita a Bitter Drug ...","Chyaita a Bitter Drug ...","[unrelated material]",,"unrelated material",,,,"01","01P010L19",,"no","no","no","no"
"King William College","King William College","[unrelated material]",,"unrelated material",,,,"01","01P011L01",,"no","no","no","no"
"West Riding Proprietary School","West Riding Proprietary School","[unrelated material]",,"unrelated material",,,,"01","01P011L05",,"no","no","no","no"
"Carriage of Goods to Leeds","Carriage of Goods to Leeds","[unrelated material]",,"unrelated material",,,,"01","01P011L07",,"no","no","no","no"
"Bowling Walker & Co ... Indelible black writing ink","Bowling Walker &amp; Co ... Indelible black writing ink","ink",,"ink, suppliers",,,,"01","01P011L13",,"no","no","no","no"
"Ea. Rea ... prices ... polish ... lacquers","Ea. Rea ... prices ... polish ... lacquers","[notes on people or companies]",,"notes on people or companies, suppliers, prices, not W&N",,,,"01","01P011L15",,"no","no","no","no"
"Mr Masters Ornamental Printer","Mr Masters Ornamental Printer","[unrelated material]",,"unrelated material",,,,"01","01P011L21",,"no","no","no","no"
"Mr Blunt Cabinet Maker ...","Mr Blunt Cabinet Maker ...","[unrelated material]",,"unrelated material",,,,"01","01P012L01",,"no","no","no","no"
"Burnishers","Burnishers","burnishers",,"unrelated material, tools, equipment",,,,"01","01P012L04",,"no","no","no","no"
"Varnish No of Galls in Stock Xmas 1841  ... 1842","Varnish No of Galls in Stock Xmas 1841 ... 1842","varnish",,"varnish manufacture, notes",,,"1841","01","01P012L11",,"no","no","no","no"
"Lithographic Chalks","Lithographic Chalks","lithographic chalk",,"printing, suppliers, prices, not W&N","chalk",,,"01","01P012L13","costs","no","no","no","no"
"Morpas ... grinds for the Potters","Morpas ... grinds for the Potters","[notes on people or companies]",,"notes on grinding, notes on people or companies",,,,"01","01P012L16",,"no","no","no","no"
"Churt Stone","Churt Stone","[notes]",,"notes on grinding",,,,"01","01P012L17",,"no","no","no","no"
"Merrick & Davis","Merrick &amp; Davis","crayon cartridge",,"UNCLEAR, crayon manufacture",,"Merrick & Davis",,"01","01P013L01",,"no","no","no","no"
"Guardian Society ...","Guardian Society ...","[unrelated material]",,"unrelated drawing, quotation from publication",,,,"01","01P013L03",,"no","no","no","no"
"Mr Roskill ... deals in Lapis Lazuli","Mr Roskill ... deals in Lapis Lazuli","ultramarine pigment","Restricted","pigment manufacture, suppliers","ultramarine",,,"01","01P013L06",,"no","no","no","no"
"Mt Thomas Hayley (gum broker) ...","Mt Tho<em>mas </em>Hayley (gum broker) ...","gum",,"gum, suppliers","gum",,,"01","01P013L08",,"no","no","no","no"
"Patent Black Varnish","Patent Black Varnish","varnish : patent black",,"varnish manufacture, suppliers",,,,"01","01P013L10",,"no","no","no","no"
"Bancroft & Co ... dealers in Gums","Bancroft &amp; Co ... dealers in Gums","gum",,"gum, suppliers","gum",,,"01","01P013L13",,"no","no","no","no"
"Harley [?] & Eyre  ... dealers in Gums","Harley [?] &amp; Eyre ... dealers in Gums","gum",,"gum, suppliers","gum",,,"01","01P013L15",,"no","no","no","no"
"Patent Farina Company","Patent Farina Comp<em>any</em>","[unrelated material]",,"unrelated material",,,,"01","01P013L17",,"no","no","no","no"
"Collegiate School (Liverpool) Drawing books","Collegiate School (Liverpool) Drawing books","book details",,"book",,,,"01","01P014L01",,"no","no","no","no"
"Composition for moulding Gilders Ornaments","Composition for moulding Gilders Ornaments","gilding",,"miscellaneous materials, gilding",,"Tilling Gilder",,"01","01P014L03",,"no","no","no","no"
"Mr Leech","Mr Leech","people or companies",,"notes on people or companies, address",,"Leech, 30 Dichenson St out of Cooke St, Mackay, Mr.",,"01","01P014L06",,"no","no","no","no"
"Chloride & Prussiate of Potassium","Chloride &amp; Prussiate of Potass<em>ium</em>","potassium chloride and prussiate",,"miscellaneous materials",,"Hargreaves",,"01","01P014L08",,"no","no","no","no"
"Eli Crossley","Eli Crossley","people or companies",,"notes on people or companies, address",,"Crossley, Eli","1843","01","01P014L12",,"no","no","no","no"
"Names of Towns or Cities where the name 'Chester' occurs","Names of Towns or Cities where the name 'Chester' occurs","[unrelated material]",,"unrelated material",,,,"01","01P014L15",,"no","no","no","no"
"Pontipool Varnish","Pontipool Varnish","varnish",,"varnish manufacture",,"Pittard, Mr.",,"01","01P015L01",,"no","no","no","no"
"Metal Leaf","Metal Leaf","metal leaf",,"metal leaf",,"Brande",,"01","01P015L06",,"no","no","no","no"
"Marston Birmingham","Marston Birm<em>ingha</em>m","people or companies",,"notes on people or companies, metal leaf",,"Marston",,"01","01P015L08",,"no","no","no","no"
"Advertiser Office Hull","Advertiser Office Hull","people or companies",,"notes on people or companies",,,,"01","01P015L10",,"no","no","no","no"
"Naptha Distiller","Naptha Distiller","people or companies",,"notes on people or companies, address",,"Aldred",,"01","01P015L12",,"no","no","no","no"
"Hull Sailing Vessells","Hull Sailing Vessells","[unrelated material]",,"unrelated material",,,,"01","01P015L15",,"no","no","no","no"
"Fine white Varnish","Fine white Varnish","varnish : fine white",,"varnish manufacture",,"Jenner",,"01","01P016L01",,"no","no","no","no"
"Brown Paper","Brown Paper","paper",,"paper",,"Jenner",,"01","01P016L05",,"no","no","no","no"
"Smith & Warner's Indelible Black Ink","Smith &amp; Warner's Indelible Black Ink","ink: indelible, black",,"ink",,"Smith, Smith & Warners, Mackay, Mr.",,"01","01P016L07",,"no","no","no","no"
"Fine Black","Fine Black","fine black",,"pigment manufacture","black pigments","Martin, Mrs., Thornley's",,"01","01P016L10",,"no","no","no","no"
"Mastic Varnish","Mastic Varnish","mastic varnish",,"varnish manufacture",,"Proctor, Ward, Marcus",,"01","01P016L12",,"no","no","no","no"
"Varnish Birmingham prices paid by Mr Docker","Varnish Birmingham prices paid by Mr Docker","varnish : prices from supplier",,"varnish manufacture, [costing]",,"Docker, Mr.",,"01","01P016L15",,"no","no","no","no"
"Astronomy","Astronomy","[unrelated material]",,"book, unrelated material, notes on people or companies",,"Nichols, J. P.",,"01","01P017L01",,"no","no","no","no"
"Miniature Case Maker","Miniature Case Maker","people or companies",,"notes on people or companies","miniature painting","Morton, Norton",,"01","01P017L04",,"no","no","no","no"
"Lead Foil Makers","Lead Foil Makers","people or companies",,"notes on people or companies, address, metal leaf",,"Hutchinson",,"01","01P017L07",,"no","no","no","no"
"Leverett","Leverett","people or companies",,"notes on people or companies, address",,"Leverette",,"01","01P017L09",,"no","no","no","no"
"St Peters Commercial School","St Peters Commercial School","[unrelated material]",,"notes on people or companies, address, unrelated material",,,,"01","01P017L10",,"no","no","no","no"
"Cherokee Copal name of Animè","Cherokee Copal name of Animè","copal : cherokee (anime)",,"materials definition","copal",,,"01","01P017L12",,"no","no","no","no"
"Dimensions of Canvass Factory","Dimensions of Canvass Factory","canvas: quantities supplied",,"canvas, unrelated material",,,,"01","01P017L13",,"no","no","no","no"
"Dawson Leith prices","Dawson Leith prices","people or companies",,"notes on people or companies",,"Dawson",,"01","01P017L15",,"no","no","no","no"
"Oil Panel Colour","Oil Panel Colour","oil : panel colour",,"oil paint manufacture, panel",,,"1843","01","01P018L01",,"no","no","no","no"
"Mrs. Moody","Mrs. Moody","people or companies",,"customers [people supplied TO], notes on people or companies, address",,"Moody, Mrs.",,"01","01P018L12",,"no","no","no","no"
"Railways Cabs","Railways Cabs","[unrelated material]",,"unrelated material",,,,"01","01P018L15",,"no","no","no","no"
"Premises to Let","Premises to Let","address",,"address, premises & services (eg water, power)",,"Corner",,"01","01P019L01",,"no","no","no","no"
"Lake coloured  Carmine","Lake coloured Carmine","carmine",,"pigment manufacture","carmine ",,,"01","01P019L05",,"no","no","no","no"
"Oserman Bricklayer & Furnace builder","Oserman Bricklayer &amp; Furnace builder","people or companies",,"notes on people or companies, unrelated material, address",,"Oserman",,"01","01P019L08",,"no","no","no","no"
"Gas Ammoniacal Liquor","Gas Ammoniacal Liquor","people or companies",,"notes on people or companies, address",,"Miles, Bow Common",,"01","01P019L11",,"no","no","no","no"
"Leeney","Leeney","people or companies",,"notes on people or companies, address",,"Leeney",,"01","01P019L14",,"no","no","no","no"
"Mr John Clarke - Grainer","Mr John Clarke - Grainer","people or companies",,"notes on people or companies, address",,"Clarke",,"01","01P019L16",,"no","no","no","no"
"Mr Udall foreman","Mr Udall foreman","people or companies",,"notes on people or companies, address",,"Udall, Mr., Olivers, Isaac",,"01","01P019L18",,"no","no","no","no"
"Plumbago","Plumbago","plumbago (black lead)",,"pigment manufacture","black pigments, lead pigments",,,"01","01P020L01",,"no","no","no","no"
"Rutile a New Metal lately discovered","Rutile a New Metal lately discovered","rutile metal",,"miscellaneous materials, metal leaf",,"Evans, Derby",,"01","01P020L04",,"no","no","no","no"
"G. H. Davidson","G. H. Davidson","people or companies",,"notes on people or companies, address",,"Davidson, G. H.",,"01","01P020L06",,"no","no","no","no"
"Cold Silvering","Cold Silvering","silvering : cold",,"miscellaneous processes","silver",,,"01","01P020L09",,"no","no","no","no"
"John Tyler (at Russells' Coachmaker's)","John Tyler (at Russells' Coachmaker's)","people or companies",,"notes on people or companies, address",,"Tyler, John",,"01","01P020L16",,"no","no","no","no"
"Ramsbottom's Corn Solvent","Ramsbottom's Corn Solvent","people or companies",,"notes on people or companies",,"Ramsbottom, Veitch",,"01","01P021L01",,"no","no","no","no"
"Wheat.","Wheat.","quantities and prices",,"miscellaneous materials",,,,"01","01P021L03",,"no","no","no","no"
"Mr Murray","Mr Murray","people or companies",,"notes on people or companies, address",,"Murray",,"01","01P021L05",,"no","no","no","no"
"Barber Turner","Barber Turner","people or companies",,"notes on people or companies, address, unrelated material",,"Turner, B.B",,"01","01P021L06",,"no","no","no","no"
"Mr Bonney","Mr Bonney","people or companies",,"notes on people or companies, address",,"Bonney, Mr.",,"01","01P021L09",,"no","no","no","no"
"Glibbery Last Maker","Glibbery Last Maker","people or companies",,"notes on people or companies, address",,"Glibbery",,"01","01P021L11",,"no","no","no","no"
"S. Carter Hall Esq","S. Carter Hall Esq","people or companies",,"notes on people or companies, address",,"Carther Hall, S. Esq.",,"01","01P021L13",,"no","no","no","no"
"Mr Key","Mr Key","people or companies",,"notes on people or companies, address, pencils",,"Key & Co. Lead Island Lead Works",,"01","01P021L15",,"no","no","no","no"
"Mr Johns","Mr Johns","people or companies",,"notes on people or companies, address",,"Johns",,"01","01P021L17",,"no","no","no","no"
"Turnbull (Chinese Blue Maker)","Turnbull (Chinese Blue Maker)","people or companies",,"notes on people or companies, address",,"Turnbull",,"01","01P021L19",,"no","no","no","no"
"Rectifiers of Naptha","Rectifiers of Naptha","naptha",,"miscellaneous materials, notes on people or companies",,"Barron & Durden, Barron & Harvey",,"01","01P022L01",,"no","no","no","no"
"Pale Chinese Blue (Bergers)","Pale Chinese Blue (Bergers)","Prussian blue",,"notes","China blue, Chinese blue (Prussian blue)","Berger, L. ","1843","01","01P022L08",,"no","no","no","no"
"Water Colours","Water Colours","watercolour prices",,"watercolour cakes",,"Frank, L, Rogers",,"01","01P022L09",,"no","no","no","no"
"Damma Varnish","Damma Varnish","varnish : dammar",,"varnish manufacture",,,,"01","01P022L12",,"no","no","no","no"
"Lediard Jones & Mortimer","Lediard Jones &amp; Mortimer","people or companies",,"notes on people or companies, address",,"Lediard, Jones, Mortimer",,"01","01P022L14",,"no","no","no","no"
"Or Moler","Or Moler","people or companies",,"notes on people or companies, address",,"Fox, Monro",,"01","01P022L18",,"no","no","no","no"
"Pale Oil","Pale Oil","oil : pale",,"oil : misc.",,"Rudd",,"01","01P022L21",,"no","no","no","no"
"Beetling or Beetleing","Beetling or Beetleing","beetling",,"miscellaneous processes",,,,"01","01P023L01",,"no","no","no","no"
"Price of Water - New River Company","Price of Water - New River Co<em>mpan</em>y","water : price",,"[costing]",,"New River Coy's",,"01","01P023L08",,"no","no","no","no"
"Mr Trumble","Mr Trumble","people or companies",,"notes on people or companies, address",,"Trumble",,"01","01P023L17",,"no","no","no","no"
"Prices of Varnish","Prices of Varnish","varnish : prices from supplier",,"varnish manufacture, [costing]",,"Wilson",,"01","01P023L19",,"no","no","no","no"
"Steam Engine to be sold","Steam Engine to be sold","equipment",,"equipment design, address",,,,"01","01P023L21",,"no","no","no","no"
"Arzone","Arzone","people or companies",,"notes on people or companies, address",,"Arzone, Piercy, Perkins, Roskill",,"01","01P024L01",,"no","no","no","no"
"Proprietary School","Proprietary School","[unrelated material]",,"unrelated material",,,,"01","01P025L01",,"no","no","no","no"
"Hennel & Crossby","Hennel &amp; Crossby","people or companies",,"notes on people or companies, address",,"Hennel & Crossby",,"01","01P025L08",,"no","no","no","no"
"Newspaper Editors recommended","Newspaper Editors recommended","people or companies",,"notes on people or companies",,,,"01","01P025L10",,"no","no","no","no"
"Gold Papers","Gold Papers","metal leaf",,"metal leaf","gold paper","Bain",,"01","01P026L10",,"no","no","no","no"
"Coal Naptha","Coal Naptha","naptha",,"miscellaneous materials","Naptha","Wilson",,"01","01P026L15",,"no","no","no","no"
"Pitch or Boiling Asphaltum","Pitch or Boil<em>ing </em>Asphaltum","asphaltum",,"miscellaneous materials","asphaltum","Wilson, Maclintock, Mr.",,"01","01P026L22",,"no","no","no","no"
"Mr. C. Moxon","Mr. C. Moxon","people or companies",,"notes on people or companies, address",,"Moxon",,"01","01P027L01",,"no","no","no","no"
"Jonathan Davidson","Jonathan Davidson","people or companies",,"notes on people or companies, address",,"Davidson, G. H.",,"01","01P027L03",,"no","no","no","no"
"White Lead Manufacturer","White Lead Man<em>ufacture</em>r","lead white",,"pigment manufacture, notes on people or companies","lead white, red lead","Lock Blacket & Co., Newcastle on Tyne (Gallowgate), Laidler",,"01","01P027L05",,"no","no","no","no"
"Heffer Carver & Gelder","Heffer Carver &amp; Gelder","people or companies",,"notes on people or companies, address",,"Heffer, Carmicheal",,"01","01P027L09",,"no","no","no","no"
"Oxide of Manganese","Oxide of Manganese","oxide of manganese",,"miscellaneous materials",,,,"01","01P027L13",,"no","no","no","no"
"Mr Raw","Mr Raw","people or companies",,"notes on people or companies, address",,"Raw, Mr.",,"01","01P027L15",,"no","no","no","no"
"Mems about buying Paving stones","Mems about buying Paving stones","[unrelated material]",,"unrelated material",,"Reed",,"01","01P027L16",,"no","no","no","no"
"Varnish Green Rudds","Varnish Green Rudds","varnish : green",,"varnish manufacture",,"Rudd, Berger, L. ",,"01","01P028L01",,"no","no","no","no"
"Japanners Black Varnish","Japanners Black Varnish","varnish : Japanners",,"varnish manufacture","Japanese varnish","Docker, Mr.",,"01","01P028L06",,"no","no","no","no"
"Colour in painting","Colour in painting","[unrelated material]",,"unrelated material",,"H C N",,"01","01P028L11",,"no","no","no","no"
"Mem'm To prepare Chinese white","Mem'm To prepare Chinese white","zinc white",,"notes","zinc white",,,"01","01P028L18",,"no","no","no","no"
"Copper Plate Printers Ink","Copper Plate Printers Ink","ink : copper plate printers",,"ink, mixed pigments",,"Church, Baker",,"01","01P029L01",,"no","yes","no","no"
"Experiment Patent Dryer","<em>E</em>xp<em>erimen</em>t Patent Dryer","dryers : patent",,"dryers, experiment",,"H C N",,"01","01P030L01",,"no","no","no","no"
"Taylor Red Cross","Taylor Red Cross","people or companies",,"notes on people or companies, address",,"Taylor",,"01","01P030L07",,"no","no","no","no"
"Prepared Oil","Prepared Oil","oil : prepared",,"oil treatment","body, carriage","Baker",,"01","01P030L08",,"no","no","no","no"
"Starch in Lake Liquor","Starch in Lake Liquor","starch",,"miscellaneous materials",,,,"01","01P030L12",,"no","no","no","no"
"Cabinet Varnish","Cabinet Varn<em>is</em>h","varnish : cabinet",,"varnish manufacture",,"Baker",,"01","01P030L15",,"no","no","no","no"
"Indigo in tube","Indigo in tube","indigo",,"pigment manufacture","indigo",,,"01","01P030L20",,"no","no","no","no"
"Hydriodate of Potash","Hydriodate of Potash","hydriodate of potash",,"miscellaneous materials","potash",,,"01","01P030L22",,"no","no","no","no"
"Verditer","Verditer","verditer",,"pigment manufacture",,,,"01","01P031L01",,"no","no","no","no"
"Green Varnish","Green Varnish","varnish : green",,"varnish manufacture, notes on people or companies, address",,"Naylor, Dent & Clarkson of Dublin","1843","01","01P031L03",,"no","no","no","no"
"Meredith's Agent","Meredith's Agent","people or companies",,"notes on people or companies, address",,"Meredith, Lawday",,"01","01P031L06",,"no","no","no","no"
"C Warner","C Warner","people or companies",,"notes on people or companies, address",,"Warner",,"01","01P031L08",,"no","no","no","no"
"Indian Ink Experiment","Ind<em>ia</em>n Ink Exp<em>erimen</em>t","Indian ink","Restricted","ink, experiment",,,,"01","01P031L10",,"no","no","no","no"
"Silica Soap","Silica Soap","silica",,"miscellaneous materials, notes on people or companies, address",,"May & Medcalf",,"01","01P031L18",,"no","no","no","no"
"Publishers Circular office Fleet St","Publishers Circular office Fleet St","people or companies",,"notes on people or companies, address",,,,"01","01P031L20",,"no","no","no","no"
"Guano","Guano","guano",,"miscellaneous materials",,"Nicholsons",,"01","01P032L01",,"no","no","no","no"
"Shawdows crossing a light road","Shawdows crossing a light road","[unrelated material]",,"unrelated material",,"H C N",,"01","01P032L06",,"no","no","no","no"
"Brunswick Black","Brunswick Black","brunswick black",,"pigment manufacture","Brunswick black","Rudd",,"01","01P032L14",,"no","no","no","no"
"A Beckett Steel Comb Maker","A Beckett Steel Comb Maker","people or companies",,"notes on people or companies, address",,"Beckett",,"01","01P032L18",,"no","no","no","no"
"Chinese White","Chinese White","zinc white",,"pigment manufacture","Chinese white, solubility",,,"01","01P032L20",,"no","no","no","no"
"Lead foil Makers","Lead foil Makers","metal leaf",,"miscellaneous materials, metal leaf",,"Hutchinson",,"01","01P033L01",,"no","no","no","no"
"Berger & Co - sell finest ground lead white","Berger &amp; Co - sell finest ground lead white","people or companies",,"notes on people or companies, address","lead white","Berger, L. ","1843","01","01P033L03",,"no","no","no","no"
"Allison's History of Europe","Allison's History of Europe","book details",,"book, unrelated material",,"Mackay, Mr.",,"01","01P033L06",,"no","no","no","no"
"Sadler & Co","Sadler &amp; Co","people or companies",,"notes on people or companies, address",,"Sadler",,"01","01P033L09",,"no","no","no","no"
"Dr Percy","Dr Percy","people or companies",,"notes on people or companies, address",,"Percy, Berzelius Traiti de Chemie, Dumas",,"01","01P033L10",,"no","no","no","no"
"Evans & Asken","Evans &amp; Asken","people or companies",,"notes on people or companies, address",,"Evans & Asken",,"01","01P033L12",,"no","no","no","no"
"Pulp Wood Lake","Pulp Wood Lake","people or companies",,"notes on people or companies, address",,"Hinks",,"01","01P033L13",,"no","no","no","no"
"Sheet Catalogues","Sheet Catalogues","[unrelated material]",,"unrelated material",,,,"01","01P033L15",,"no","no","no","no"
"White Lead","White Lead","lead white",,"pigment manufacture","lead white","Percy",,"01","01P033L16",,"no","no","no","no"
"Damp Prussian Blue","Damp Pruss<em>ian </em>Blue","Prussian blue",,"pigment manufacture","Prussian blue","Hinks",,"01","01P033L20",,"no","no","no","no"
"Wellington Hotel Liverpool","Wellington Hotel Liverpool","people or companies",,"notes on people or companies, address",,,,"01","01P034L01",,"no","no","no","no"
"Experiment Carmine","Experiment Carmine","carmine",,"experiment, pigment manufacture",,,"1838","01","01P034L04",,"no","no","no","no"
"Blue Verditer","Blue Verditer","verditer",,"pigment manufacture","verditer","Monro, Wilkinson",,"01","01P034L15",,"no","no","no","no"
"Zinc Wire","Zinc Wire","people or companies",,"notes on people or companies, address",,"North & Wyde",,"01","01P035L01",,"no","no","no","no"
