"title","value","type"
"glycerine",,"m"
"gold size",,"m"
"gum",,"m"
"gum amber",,"m"
"gum aninni",,"m"
"gum cowdy",,"m"
"gum damar",,"m"
"gum dammar",,"m"
"gum senegal",,"m"
"gumtion",,"m"
"gutta percha",,"m"
"honey",,"m"
"hydrocarbon solvents",,"m"
"India rubber",,"m"
"iridium",,"m"
"isinglass",,"m"
"ivory",,"m"
"lac",,"m"
"lead ",,"m"
"leather",,"m"
"lichen",,"m"
"lime",,"m"
"linen",,"m"
"linseed",,"m"
"lithographic chalk",,"m"
"madder",,"m"
"manganoleate",,"m"
"mastic",,"m"
"megilp",,"m"
"methylated spirit",,"m"
"mummy",,"m"
"muriate of barytes",,"m"
"muriate of cadmium",,"m"
"muriate of tin",,"m"
"nitrate of alumina for lakes",,"m"
"nitrate of cadmium",,"m"
"nitrate of iron",,"m"
"nitrate of lead",,"m"
"nitrate of lime",,"m"
"nitrate of tin",,"m"
"nitric acid",,"m"
"nitro-muriate of platina",,"m"
"nitro-muriate of tin",,"m"
"ormolu",,"m"
"ox gall",,"m"
"oxide of barytes and zinc",,"m"
"peach wood",,"m"
"pencil lead",,"m"
"peroxide of tin",,"m"
"porridge",,"m"
"potash",,"m"
"potassium antimony tartrate",,"m"
"potassium arsenate",,"m"
"potassium chromate",,"m"
"potassium citrate",,"m"
"potassium silicate",,"m"
"potassium tartrate",,"m"
"nitrate of barytes",,"m"
"proto-muriate of tin",,"m"
"Prussiate of potash",,"m"
"prussic acid",,"m"
"putty oil",,"m"
"pyrophorus",,"m"
"quassia",,"m"
"resin",,"m"
"rosin",,"m"
"safflower",,"m"
"sepia",,"m"
"shellac",,"m"
"silica",,"m"
"silk",,"m"
"silver leaf",,"m"
"soap",,"m"
"spermaceti",,"m"
"spike lavender",,"m"
"spirits of wine",,"m"
"strontium nitrate",,"m"
"submuriate of lead",,"m"
"sugar of lead ",,"m"
"sulphur",,"m"
"sulphuric acid",,"m"
"sulphuric acid",,"m"
"tartar",,"m"
"tin",,"m"
"tin oxide",,"m"
"turpentine",,"m"
"wax",,"m"
"white earth",,"m"
"whiting",,"m"
"yeast",,"m"
"zinc",,"m"
"zinc chromate",,"m"
"zinc oxide ",,"m"
"zinc sulphate",,"m"
"A. H. N.",,"n"
"A J & Co.",,"n"
"A. Johnson",,"n"
"Abbott & Sons",,"n"
"Abraham",,"n"
"Accum",,"n"
"Ackermann, R.",,"n"
"Adams",,"n"
"Aglio, Mr. Augustine",,"n"
"Agnew, Messrs., & Co.",,"n"
"AH",,"n"
"Alden, Norman",,"n"
"Aldred",,"n"
"Alkinson, Mr.",,"n"
"Allan, Mr.",,"n"
"Allardice",,"n"
"Allchin, W. H.",,"n"
"Allen",,"n"
"Allen, F Bow Common",,"n"
"Allen & Moore Snow Hill Birm",,"n"
"Alvarez",,"n"
"Ambrose, Mr",,"n"
"Anderson",,"n"
"Andrew, J Mr",,"n"
"Andrew, Mrs",,"n"
"Andrews",,"n"
"Anglesank",,"n"
"Ansell",,"n"
"Arago, Mr.",,"n"
"Archer and Taverner",,"n"
"Arches, Wandsworth",,"n"
"Arnfield",,"n"
"Arthur",,"n"
"Arzone",,"n"
"Ashfords",,"n"
"Aston, J",,"n"
"Atkinson",,"n"
"Atkinson & Biggan's",,"n"
"Atkinson, W H",,"n"
"Augendre, M.",,"n"
"B. Biggs",,"n"
"B. Neale",,"n"
"B & Sons",,"n"
"Bailey",,"n"
"Bain",,"n"
"[Baindle]",,"n"
"Baines, James, Engineer",,"n"
"Baker",,"n"
"Ball, [J?] & Co",,"n"
"Ball, Philip, Frogshall",,"n"
"Ball, Philip, Stoke upon Trent",,"n"
"Ballard",,"n"
"Balmer",,"n"
"Banks & Fosters",,"n"
"Barber & Andrews",,"n"
"Barclay",,"n"
"Barclay & Co.",,"n"
"Barff, Mr",,"n"
"Barff, Professor",,"n"
"Baring, Mr.",,"n"
"Barker, Mr.",,"n"
"Barlett, Mr",,"n"
"Barlow, Mr.",,"n"
"Barnes",,"n"
"Barnett of Birm'm",,"n"
"Barrett",,"n"
"Barrett &Co",,"n"
"Barretts & Hatfields",,"n"
"Barron & Durden",,"n"
"Barron & Harvey",,"n"
"Barrow",,"n"
"Bartholomew, V",,"n"
"Barton",,"n"
"Basire Jr., Mr. James",,"n"
"Bathas [?]",,"n"
"Batten, J.",,"n"
"Bayes & Pennington?",,"n"
"Baylis",,"n"
"Beale, mr.",,"n"
"Beauf [Beaufoys Reid]",,"n"
"Beaufoy, Prof., South Lambeth",,"n"
"Beaufoy?s",,"n"
"Beaufoys Reid",,"n"
"Beaugardes, Mr.",,"n"
"Bechamp, M",,"n"
"Beckett",,"n"
"Beevon",,"n"
"Begault, M",,"n"
"Bell & Co",,"n"
"Bell, J. L., Esq.",,"n"
"Benham",,"n"
"Bennetts, Mr.",,"n"
"Ber[z]elius",,"n"
"Bergelius",,"n"
"Berger, L. ",,"n"
"Berger, Lewis, & Co",,"n"
"Berger, Miss",,"n"
"Bergman",,"n"
"Berkeley & Daniel",,"n"
"Berthollet",,"n"
"Berzelius Traiti de Chemie",,"n"
"Bessemer",,"n"
"Betts",,"n"
"Biasutti, Pietro",,"n"
"Biggs",,"n"
"Binks",,"n"
"Birkett",,"n"
"Birkett and Elms, Mesdames",,"n"
"Bishop, Louis",,"n"
"BL [Blundell?]",,"n"
"Blachett",,"n"
"Blakes, Dr.",,"n"
"Blandford",,"n"
"Blasden [?]",,"n"
"Bligh, Mrs",,"n"
"Blimock [?] Spence",,"n"
"Blogg",,"n"
"Blogg & Astern",,"n"
"Blogg & Martin Bucklersburg Diamond Merchants",,"n"
"Blundell",,"n"
"Blundell, Spence & Co.",,"n"
"Blundell, Spence &co.",,"n"
"Blunt & Co",,"n"
"Bolton",,"n"
"Bonney, Mr.",,"n"
"Booth",,"n"
"Boothe, John",,"n"
"Borhum",,"n"
"Bosschaert, A Baillie",,"n"
"Boswell",,"n"
"Bou[...]or",,"n"
"Bourne Brother, Alfred",,"n"
"Bousfield, G J",,"n"
"Boutin",,"n"
"Bowden",,"n"
"Bowen & Godwin",,"n"
"Boy]",,"n"
"Bradbury, Mr.",,"n"
"Braithwaite, Mrs",,"n"
"Braithwaites",,"n"
"Bramah",,"n"
"Brand",,"n"
"Brande",,"n"
"Brandeam [?]",,"n"
"Brandram",,"n"
"Brandram Bros. & Co",,"n"
"Brands",,"n"
"Braun, G. E.",,"n"
"Br?bant, Monsieur",,"n"
"Brett, Isaac, Esq.",,"n"
"Bribank, Mr",,"n"
"Bridgward",,"n"
"Brierly",,"n"
"Briggs, B.",,"n"
"Briggs, Gibbs & Co",,"n"
"Bristol Museum Library",,"n"
"Brixhe, Monsieur",,"n"
"Brockedon?s",,"n"
"Brodie & Allen",,"n"
"Brongmart",,"n"
"Brook?s",,"n"
"Brookman & Langdons",,"n"
"Brooks, G. ",,"n"
"Brown",,"n"
"Brown and Godwin",,"n"
"Brown & Co, W., Glasgow",,"n"
"Brown, Dr.",,"n"
"Brown, H C[?]",,"n"
"Brown Rusby & Boothe",,"n"
"Browne, Dr J Collis",,"n"
"Browns",,"n"
"Brummer, Prof C.",,"n"
"Brunning, Mr.",,"n"
"Bryan Corcoran & Co.",,"n"
"Bryers",,"n"
"Buckley",,"n"
"Buckmaster",,"n"
"Bullock",,"n"
"Bulstrode, Mr.",,"n"
"Burnett & Co., Sir R",,"n"
"Bush & Smith",,"n"
"Butcher",,"n"
"Buxton",,"n"
"C Davies K T",,"n"
"C & F",,"n"
"C Foot",,"n"
"C. Foot & Co",,"n"
"C P & Co",,"n"
"C. Rice & Co.",,"n"
"Caf[eola]",,"n"
"Cageth (?)",,"n"
"Cagett ",,"n"
"Calvert, F. C.",,"n"
"Calvert, Mr. Grace",,"n"
"Campbell, Mr D[i]yald",,"n"
"Cannon, Mr.",,"n"
"Cantrill [?]",,"n"
"Capell, Mr.",,"n"
"Capt W C Daldy",,"n"
"Carlyle",,"n"
"Carmicheal",,"n"
"Carr",,"n"
"Carter, A J",,"n"
"Carter, George Esq.",,"n"
"Carther Hall, S. Esq.",,"n"
"Cashin, Mr. J J",,"n"
"Ch",,"n"
"Chabot, Mr.",,"n"
"Challouer [?] of Derby",,"n"
"Chalon[?], Mr.",,"n"
"Chambers",,"n"
"Chambers, Edinburgh",,"n"
"Chambers, W R, Edinburgh",,"n"
"Chance Esq. Jun., R. L. ",,"n"
"Chappuis, M",,"n"
"Charles & Fox",,"n"
"Cheffins, Mr. C F",,"n"
"Chevalier, M.",,"n"
"Chinnery",,"n"
"Christ., Mr.",,"n"
"Christie & Manson",,"n"
"Christs?",,"n"
"Church",,"n"
"Clack, ",,"n"
"Clandet",,"n"
"Clare",,"n"
"Clark",,"n"
"Clark, Mr Andrew",,"n"
"Clark of R",,"n"
"Clarke",,"n"
"Clarke, J",,"n"
"Clayton, John, Esq.",,"n"
"Cleagg (or such name)",,"n"
"Clegg, [I], Jun' Esq.",,"n"
"Clk",,"n"
"Cobb",,"n"
"Cohen",,"n"
"Cohen, B. S.",,"n"
"Cohen, H.",,"n"
"Coldman",,"n"
"Cole",,"n"
"Colin",,"n"
"Colin & Brown's",,"n"
"Collean",,"n"
"Collease[?]",,"n"
"Collins",,"n"
"Colls[?], R.",,"n"
"Cooke, John",,"n"
"Cooke, W",,"n"
"Cooley",,"n"
"Cooper",,"n"
"Cooper, J",,"n"
"Corbett, Mr., Shrewsbury",,"n"
"Corey",,"n"
"Corfield's",,"n"
"Corner",,"n"
"Corney, Mr J",,"n"
"Corns",,"n"
"Cory, Dr.",,"n"
"Cos, Mr",,"n"
"Costin (?)",,"n"
"Cotelle",,"n"
"Cotton",,"n"
"Country & General",,"n"
"Country House",,"n"
"Court?s[?] House",,"n"
"Courtois",,"n"
"Cousins",,"n"
"Cowan & Co.",,"n"
"Coward",,"n"
"Coward & Cancellor?s (Princes St Lambeth)",,"n"
"Cox",,"n"
"Crace, Mr.",,"n"
"Crane, Mrs.",,"n"
"Creaton, Mr",,"n"
"Crells",,"n"
"Creswell",,"n"
"Crisp",,"n"
"Croft, Mr",,"n"
"Croggan",,"n"
"Croll, A A",,"n"
"Cronheim, Mr.",,"n"
"Crookes, MR, FRS",,"n"
"Crossley, Eli",,"n"
"Crouch",,"n"
"Crowder, J.",,"n"
"Cubett & Thorn",,"n"
"Cubley",,"n"
"Cundale & Co., R.",,"n"
"Cunningham, Mr",,"n"
"Cunningham's",,"n"
"Curnock",,"n"
"Cuthbert",,"n"
"Cutler, Mr",,"n"
"D M & Co",,"n"
"D'Otto of Brunswick",,"n"
"Dagneau",,"n"
"Daldy Esq, Surgeon, 33 New Broad Street, City",,"n"
"Dale, John",,"n"
"Dalton, Mr.",,"n"
"Darlings",,"n"
"Darlins",,"n"
"Darvill, H",,"n"
"Dauglish, Dr.",,"n"
"Davenport J T",,"n"
"Davenport's",,"n"
"Davey",,"n"
"Davidson, G. H.",,"n"
"Davies",,"n"
"Davies (Tarpaulin makers)",,"n"
"Davis",,"n"
"Davison & Scarnell",,"n"
"Davy",,"n"
"Davy & Co",,"n"
"Davy Mackmunro & Co",,"n"
"Davys",,"n"
"Dawson",,"n"
"Day, E. F., Mr",,"n"
"de la Rue, Warren",,"n"
"de la Rue, WIlliam",,"n"
"Deacon, Miss",,"n"
"Deane, G & J",,"n"
"Deck, Mr.",,"n"
"Denison, Sir W.",,"n"
"Dent & Clarkson of Dublin",,"n"
"Denton",,"n"
"Desarmes [?], Clement",,"n"
"Desprez Guyot Mo., Paris",,"n"
"Deu[teth]",,"n"
"Devaux, C., & Co.",,"n"
"Dickens, Charles",,"n"
"Dickenson & Gibson",,"n"
"DIckson",,"n"
"Dinsdale, Mr.",,"n"
"Dobbs",,"n"
"Docker, Mr.",,"n"
"Dodd, Henry",,"n"
"Doney",,"n"
"Donnaldson",,"n"
"Dougherty, New York",,"n"
"Douglas",,"n"
"Doulton & Watts Lambeth",,"n"
"Dowie",,"n"
"Drake, S.",,"n"
"Dresch",,"n"
"Druke (?), S. ",,"n"
"Drukes",,"n"
"Dubrunfants",,"n"
"Dudgeon",,"n"
"Dudley, Lord",,"n"
"Dumas",,"n"
"Duncan & Flockhart",,"n"
"Duncy",,"n"
"Dunkinfield Swarbreech, Esq.",,"n"
"Dunn Hattersley & Co",,"n"
"Dupaigne, Monsieur",,"n"
"Dusters & Myers of Leadenhall St.",,"n"
"Dyers, Charles Kemp",,"n"
"E J",,"n"
"E. Miles",,"n"
"E N",,"n"
"Eakin [?]",,"n"
"Eastlake, Mr.",,"n"
"Edlin",,"n"
"Edward Driver & Co",,"n"
"Edwards Islington Foundry",,"n"
"Edwards, Mr.",,"n"
"Eilbert, Mr",,"n"
"Einsle, Mr. S.",,"n"
"Eldridge, J",,"n"
"Ellen",,"n"
"Elphick, Mr. George",,"n"
"Elsner [?]",,"n"
"Emerson",,"n"
"English & Watson",,"n"
"Erdmann",,"n"
"Erskine, Mr. WIlliam",,"n"
"Esdaila & Margraves City Saw Mills",,"n"
"Essingh [?]",,"n"
"Evans & Asken",,"n"
"Evans, Derby",,"n"
"Evelyn, Mr",,"n"
"Ewans, J",,"n"
"Ewbank & Co.",,"n"
"Eynsham Paper Mills",,"n"
"F. All[he?] & Sons",,"n"
"F[ield], G ",,"n"
"Faber",,"n"
"Faipoux [?] ? Paris",,"n"
"Faraday",,"n"
"Farmer, Mr.",,"n"
"Fawcett",,"n"
"Fayole & Co",,"n"
"Ferryman, George Lucy",,"n"
"Field",,"n"
"Fielder Nicholsons",,"n"
"Filtertons?",,"n"
"Fisher, Mr.",,"n"
"Fitch",,"n"
"Fletcher, Joseph",,"n"
"Flight",,"n"
"Foord & Sons, Chatham",,"n"
"Foots",,"n"
"Ford",,"n"
"Foreman",,"n"
"Fornes[...]y",,"n"
"Fottit / Footet Asphalt/e Works",,"n"
"Fountain, Mr.",,"n"
"Foureroy [?]",,"n"
"Fox",,"n"
"Francis, Mr",,"n"
"Frank, L",,"n"
"Franklin, Mr.",,"n"
"Frauenknachl [?]",,"n"
"Freeman",,"n"
"Freeman & Sons",,"n"
"Frewin",,"n"
"Fri[?] Manor Dairy",,"n"
"Frost",,"n"
"Frost, Mr ?, 9  Mitcham St, Lisson Grove",,"n"
"Fuchs",,"n"
"Fuller",,"n"
"Furness, Mr",,"n"
"G B",,"n"
"G P",,"n"
"G S",,"n"
"G. Street, Hampstead",,"n"
"G & Y",,"n"
"Gabriel, Birm'm",,"n"
"Gagan, W.",,"n"
"Gaine, Mr. W E",,"n"
"Gale",,"n"
"Gallais & Co",,"n"
"Gallery of Illustration",,"n"
"Galli, Mr",,"n"
"Gallop and Grace",,"n"
"Games",,"n"
"Garden?s",,"n"
"Garrett",,"n"
"Gastineau, Mr",,"n"
"Gaudoc",,"n"
"Gaunt",,"n"
"Gay Lussac",,"n"
"Geale (had already entered this?)",,"n"
"Gear, Mrs.",,"n"
"Gellert",,"n"
"George",,"n"
"Gerhardt",,"n"
"Ghelins, M",,"n"
"Giangiacomo",,"n"
"Gibbins",,"n"
"Gibbons, Harley",,"n"
"Gibbons, Mich.",,"n"
"Gibson, William",,"n"
"Gilbert & Cooper",,"n"
"Gilbin?",,"n"
"Giles",,"n"
"Gilfillian, Glasgow",,"n"
"Gill",,"n"
"Giller",,"n"
"Gillows' Upholsterer",,"n"
"Girling, Mr.",,"n"
"Glandore Mines",,"n"
"Glaubers",,"n"
"Glibbery",,"n"
"Glover",,"n"
"Gmelin",,"n"
"Goddard",,"n"
"Godsons",,"n"
"Goodall & Son, Mess. ",,"n"
"Goodlads",,"n"
"Goodwin",,"n"
"Grace, Dr",,"n"
"Grace & Gallop?",,"n"
"Graham",,"n"
"Gratton, Mr",,"n"
"Green, Charles",,"n"
"Green, Edward",,"n"
"Green, J. W.",,"n"
"Greenley, David",,"n"
"Gregory",,"n"
"Grice",,"n"
"Griffin, J",,"n"
"Griffiths",,"n"
"Grinault &Co",,"n"
"Guerrier, Mr.",,"n"
"Guilmets",,"n"
"Guinel, Mons.",,"n"
"Guisnet",,"n"
"Gurdin, Mr.",,"n"
"Gutta Percha",,"n"
"Gywnner & Co",,"n"
"H C L",,"n"
"H C N",,"n"
"H Ch",,"n"
"H Corip",,"n"
"H I {?]",,"n"
"H & Son",,"n"
"Ha[j]henbeck [?]",,"n"
"Haag, Carl",,"n"
"Hacker?s",,"n"
"Haghenbeck, Charles",,"n"
"Haig",,"n"
"Halford",,"n"
"Hall, Sir B.",,"n"
"Halmandel",,"n"
"Hancock & Cheese",,"n"
"Hanhart, Mr",,"n"
"Hapell",,"n"
"Harantz [?]",,"n"
"Harben, Mr",,"n"
"Harding, Mr J D",,"n"
"Harding, [S&C?]",,"n"
"Hardy, Mr",,"n"
"Hargreaves",,"n"
"Harkers, Mr.",,"n"
"Harl?s [Harlands]",,"n"
"Harlands",,"n"
"Harmand[?]",,"n"
"Harriman",,"n"
"Harrington, Miss",,"n"
"Harris & Winter",,"n"
"Harrison",,"n"
"Hart, H.",,"n"
"Hartley",,"n"
"[Harves? Howes?] Soap Works",,"n"
"Harwood",,"n"
"Haskisson's",,"n"
"Hatchard, Mess., Bookseller",,"n"
"Hatchett",,"n"
"Hatton, E",,"n"
"Hawkins",,"n"
"Hawks",,"n"
"Hawtry",,"n"
"Haycock",,"n"
"Haynes, Mr.",,"n"
"Hayter",,"n"
"Hayward",,"n"
"Heald, R",,"n"
"Hearon & co",,"n"
"Heathfield & Burgess",,"n"
"Heffer",,"n"
"Heidenreich",,"n"
"Heinhold, Mr.",,"n"
"Hellier and Wills",,"n"
"Helps",,"n"
"[Hen]hart",,"n"
"Hendrie, Robert",,"n"
"Henley",,"n"
"Hennel & Crossby",,"n"
"Henry",,"n"
"Henshaw, J. H.",,"n"
"Herbest, Baron F.P. ",,"n"
"Hermann",,"n"
"Heroult",,"n"
"Hessel, Friedrich",,"n"
"Heuer & Procell",,"n"
"HGN",,"n"
"Higginbotham & Hayward",,"n"
"Higgs, William",,"n"
"High, Adam",,"n"
"Highton, Mr. Edward",,"n"
"Hilder, Miss",,"n"
"Hill of Deptford",,"n"
"Hill & Son",,"n"
"Hillier & Co, Bristol",,"n"
"Hills",,"n"
"Hillyard",,"n"
"Hinks",,"n"
"Hlk",,"n"
"Hoare, Henry",,"n"
"Hodge & Bartley's",,"n"
"Hodge, P R., Esq.",,"n"
"Hodges",,"n"
"Hodgkinson's",,"n"
"Hodgson, Druggist, Leicester",,"n"
"Hofmann, Dr",,"n"
"Hofmann, Prof.",,"n"
"Hogg",,"n"
"Holden, R & Son",,"n"
"Holliday",,"n"
"Hollingsworth",,"n"
"Hollingwalter[?}",,"n"
"Hollingwalter [?]",,"n"
"Hollingworth",,"n"
"Hollingworth, Maidstone",,"n"
"Holman Hunt, W., Esq",,"n"
"Holmes Esq., W.",,"n"
"Holmes, Mess; H & A",,"n"
"Holsworth, F. F., architect",,"n"
"Homberg",,"n"
"Homer",,"n"
"Homersham, Mr. W C",,"n"
"Hooge, Mr.",,"n"
"Hooper",,"n"
"Hopkins",,"n"
"Hopkins & Purves",,"n"
"Hoppers",,"n"
"Hornblower & Lowe",,"n"
"House of Lords",,"n"
"Howard & Kent",,"n"
"Howards",,"n"
"Howards & Sons'",,"n"
"Howell",,"n"
"Howlett",,"n"
"Hoyle, Robson &Co., Newcastle uon Tyne",,"n"
"HRH Prince Albert",,"n"
"Hubbard, B, Esq.",,"n"
"Hubbock & Son",,"n"
"Hubbuch & Sons",,"n"
"Hughes",,"n"
"Hulett & Co",,"n"
"Hulme, Mr",,"n"
"Hume",,"n"
"Hummerston",,"n"
"Humphreys",,"n"
"Humphris",,"n"
"Hunstone",,"n"
"Hunt, Mr",,"n"
"Hunt, Robert",,"n"
"Hunt, W. Esq.",,"n"
"Huntley, Mr",,"n"
"Hunts' J J",,"n"
"Hunts', Messrs",,"n"
"Hurlet & Campin Company",,"n"
"Hurrell",,"n"
"Hushisson",,"n"
"Husk",,"n"
"Huskinsson's",,"n"
"Hutchinson",,"n"
"I?s",,"n"
"[Iams]",,"n"
"Inadane Cenette",,"n"
"Inglefield, H. C.",,"n"
"Isaac Trow & Court",,"n"
"Iver Mr",,"n"
"Ives",,"n"
"J & Co.",,"n"
"J & J Sheppard",,"n"
"Jackson",,"n"
"Jacobs",,"n"
"Jenn, Mr W W",,"n"
"Jenner",,"n"
"Jeukes",,"n"
"John, Dr.",,"n"
"Johns",,"n"
"Johnson, Edward",,"n"
"Johnson, Mr",,"n"
"Johnson, W & Sons",,"n"
"Jones",,"n"
"Jones & Co",,"n"
"Joseph Lane & Sons",,"n"
"Judds",,"n"
"Judds?",,"n"
"Julien",,"n"
"K J",,"n"
"K T",,"n"
"Kaffreinzue Freres",,"n"
"Kane, mr.",,"n"
"Kean & Welsh",,"n"
"Keating",,"n"
"Kebbel &Co.",,"n"
"Kelso, Birm'm",,"n"
"Kemp, Charles",,"n"
"Kempson",,"n"
"Kent, Mr.",,"n"
"Kershaw, Mr",,"n"
"Kerslake, bookseller",,"n"
"Key & Co. Lead Island Lead Works",,"n"
"Kinder, Avery Row Grosvenor Sq.",,"n"
"King, Mr J R",,"n"
"Kingdon Blackfriars Rd",,"n"
"Kingsley, Mr, ?of Lid: Coll:?",,"n"
"Kirk, R.",,"n"
"Kirkman, Mr.",,"n"
"Klamroth",,"n"
"Klaproth",,"n"
"Kleinmann & Gal",,"n"
"Knights",,"n"
"Knights Oyster Shop",,"n"
